Season,Team,Name,Games_Played,Games_Started,Minutes_Played,Goals,Assists,Shots_On_Goal,Shots,Yellow_Cards,Red_Cards
2017/2018,BORUSSIA DORTMUND,"Guerreiro, Raphael",9,6,545,1,1,7,10,0,0
2017/2018,BORUSSIA DORTMUND,"Sancho, Jadon",12,7,685,1,4,4,11,0,0
2017/2018,BORUSSIA DORTMUND,"Schurrle, André",18,11,1235,1,4,13,35,0,0
2017/2018,BORUSSIA DORTMUND,"Toljan, Jeremy",18,15,1388,1,2,2,8,1,0
2017/2018,BORUSSIA DORTMUND,"Weigl, Julian",25,20,1944,1,0,2,5,4,0
2017/2018,BORUSSIA DORTMUND,"Zagadou, Dan-Axel",11,6,655,1,0,2,8,0,1
2017/2018,BORUSSIA DORTMUND,"Akanji, Manuel",11,10,903,0,0,2,5,2,0
2017/2018,BORUSSIA DORTMUND,"Bruun, Jacob",5,1,110,0,0,0,0,0,0
2017/2018,BORUSSIA DORTMUND,"Burki, Roman",33,33,2969,0,0,0,0,4,0
2017/2018,BORUSSIA DORTMUND,"Castro, Gonzalo",19,16,1207,0,2,2,11,3,0
2017/2018,BORUSSIA DORTMUND,"Dahoud, Mahmoud",23,11,1138,0,4,6,28,4,0
2017/2018,BORUSSIA DORTMUND,"Gómez, Sergio",2,0,7,0,0,0,0,0,0
2017/2018,BORUSSIA DORTMUND,"Isak, Alexander",5,1,116,0,0,0,5,0,0
2017/2018,BORUSSIA DORTMUND,"Passlack, Felix",3,1,73,0,0,0,0,0,0
2017/2018,BORUSSIA DORTMUND,"Piszczek, Lukasz",24,24,2139,0,3,7,21,3,0
2017/2018,BORUSSIA DORTMUND,"Schmelzer, Marcel",18,17,1493,0,0,2,7,3,0
2017/2018,BORUSSIA DORTMUND,"Subotic, Neven",4,3,271,0,0,0,0,1,0
2017/2018,BORUSSIA DORTMUND,"Toprak, Omer",26,22,2017,0,1,1,12,1,0
2017/2018,BORUSSIA DORTMUND,"Weidenfeller, Roman",2,1,91,0,0,0,0,0,0
2013/2014,BAYER LEVERKUSEN,"Kießling, Stefan",32,30,2674,15,3,41,85,3,0
2013/2014,BAYER LEVERKUSEN,"Son, Heung-Min",31,29,2383,10,4,43,83,1,0
2013/2014,BAYER LEVERKUSEN,"Sam, Sidney",22,16,1387,8,7,14,41,2,0
2013/2014,BAYER LEVERKUSEN,"Castro, Gonzalo",30,30,2558,5,9,12,52,7,0
2013/2014,BAYER LEVERKUSEN,"Rolfes, Simon",31,22,2190,4,5,13,29,1,0
2013/2014,BAYER LEVERKUSEN,"Bender, Lars",29,28,2349,3,1,9,20,2,1
2013/2014,BAYER LEVERKUSEN,"Can, Emre",29,24,2191,3,3,14,37,9,0
2013/2014,BAYER LEVERKUSEN,"Brandt, Julian",12,6,586,2,2,3,12,1,0
2013/2014,BAYER LEVERKUSEN,"Kruse, Robbie",15,4,389,2,2,7,12,1,0
2013/2014,BAYER LEVERKUSEN,"Spahic, Emir",27,26,2344,2,2,2,7,9,1
2013/2014,BAYER LEVERKUSEN,"Boenisch, Sebastian",25,25,2250,1,2,10,41,2,0
2013/2014,BAYER LEVERKUSEN,"Derdiyok, Eren",18,4,517,1,1,8,24,2,0
2013/2014,BAYER LEVERKUSEN,"Hilbert, Roberto",16,15,1291,1,1,1,10,2,0
2013/2014,BAYER LEVERKUSEN,"Toprak, Omer",28,27,2449,1,1,1,8,5,0
2013/2014,BAYER LEVERKUSEN,"Donati, Giulio",23,19,1761,0,1,2,5,5,0
2013/2014,BAYER LEVERKUSEN,"Guardado, Andrés",4,3,269,0,0,2,5,2,0
2013/2014,BAYER LEVERKUSEN,"Hegeler, Jens",18,6,665,0,3,7,13,3,0
2013/2014,BAYER LEVERKUSEN,"Kohr, Dominik",10,5,415,0,0,1,3,3,0
2013/2014,BAYER LEVERKUSEN,"Leno, Bernd",34,34,3060,0,0,0,0,1,0
2013/2014,BAYER LEVERKUSEN,"Oztunali, Levin",9,0,66,0,0,0,0,0,0
2013/2014,BAYER LEVERKUSEN,"Reinartz, Stefan",14,13,1102,0,1,1,5,5,0
2013/2014,BAYER LEVERKUSEN,"Ryu, Seung-Woo",2,0,11,0,0,0,0,0,0
2013/2014,BAYER LEVERKUSEN,"Stafylidis, Kostas",1,0,7,0,0,0,2,0,0
2013/2014,BAYER LEVERKUSEN,"Wollscheid, Philipp",20,13,1147,0,0,2,2,6,0
2014/2015,BAYER LEVERKUSEN,"Bellarabi, Karim",33,32,2721,12,6,38,103,5,0
2014/2015,BAYER LEVERKUSEN,"Son, Heung-Min",30,28,2288,11,2,26,68,4,0
2014/2015,BAYER LEVERKUSEN,"Kiessling, Stefan",34,31,2572,9,4,24,55,4,0
2014/2015,BAYER LEVERKUSEN,"Calhanoglu, Hakan",33,31,2521,8,6,34,107,3,0
2014/2015,BAYER LEVERKUSEN,"Drmic, Josip",25,5,792,6,1,9,19,1,0
2014/2015,BAYER LEVERKUSEN,"Brandt, Julian",25,10,1110,4,2,10,22,0,0
2014/2015,BAYER LEVERKUSEN,"Castro, Gonzalo",22,19,1784,2,7,10,29,4,0
2014/2015,BAYER LEVERKUSEN,"Jedvaj, Tin",22,18,1663,2,1,4,11,6,1
2014/2015,BAYER LEVERKUSEN,"Papadopoulos, Kyriakos",14,9,828,2,1,6,17,5,0
2014/2015,BAYER LEVERKUSEN,"Bender, Lars",26,25,2026,1,3,8,22,5,0
2014/2015,BAYER LEVERKUSEN,"Oztunali, Levin",22,10,892,1,3,7,19,1,0
2014/2015,BAYER LEVERKUSEN,"Reinartz, Stefan",17,9,971,1,0,6,17,2,0
2014/2015,BAYER LEVERKUSEN,"Rolfes, Simon",24,13,1230,1,1,4,12,4,0
2014/2015,BAYER LEVERKUSEN,"Spahic, Emir",22,22,1875,1,0,4,10,5,2
2014/2015,BAYER LEVERKUSEN,"Toprak, Omer",29,27,2497,1,0,5,9,10,0
2014/2015,BAYER LEVERKUSEN,Wendell,26,25,2251,1,1,4,18,8,0
2014/2015,BAYER LEVERKUSEN,"Boenisch, Sebastian",12,9,869,0,1,1,12,2,0
2014/2015,BAYER LEVERKUSEN,"Donati, Giulio",8,4,404,0,0,0,3,1,1
2014/2015,BAYER LEVERKUSEN,"Hilbert, Roberto",23,21,1792,0,5,3,7,6,0
2014/2015,BAYER LEVERKUSEN,"Kruse, Robbie",4,0,46,0,1,0,1,0,0
2014/2015,BAYER LEVERKUSEN,"Leno, Bernd",34,34,3060,0,0,0,0,1,0
2014/2015,BAYER LEVERKUSEN,"Yurchenko, Vladen",3,0,54,0,0,1,2,0,0
2015/2016,BAYER LEVERKUSEN,"Hernández, Chicharito",28,25,2173,17,2,32,64,6,0
2015/2016,BAYER LEVERKUSEN,"Brandt, Julian",29,18,1625,9,3,16,30,0,0
2015/2016,BAYER LEVERKUSEN,"Bellarabi, Karim",33,31,2604,6,11,28,72,5,0
2015/2016,BAYER LEVERKUSEN,"Kiessling, Stefan",30,19,1882,5,3,19,42,1,0
2015/2016,BAYER LEVERKUSEN,"Çalhanoglu, Hakan",31,27,2263,3,5,32,86,1,0
2015/2016,BAYER LEVERKUSEN,"Kampl, Kevin",23,19,1757,3,2,13,28,4,0
2015/2016,BAYER LEVERKUSEN,"Aránguiz, Charles",7,5,469,2,1,3,12,1,0
2015/2016,BAYER LEVERKUSEN,"Mehmedi, Admir",28,14,1326,2,5,11,27,2,0
2015/2016,BAYER LEVERKUSEN,"Bender, Lars",11,11,885,1,1,4,11,3,0
2015/2016,BAYER LEVERKUSEN,"Boenisch, Sebastian",8,7,548,1,0,1,8,1,1
2015/2016,BAYER LEVERKUSEN,"Toprak, Omer",19,17,1411,1,0,7,11,2,0
2015/2016,BAYER LEVERKUSEN,"Yurchenko, Vladlen",7,3,292,1,0,2,5,2,0
2015/2016,BAYER LEVERKUSEN,"Donati, Giulio",23,21,1867,0,2,0,3,8,1
2015/2016,BAYER LEVERKUSEN,"Frey, Marlon",9,2,243,0,0,1,9,1,0
2015/2016,BAYER LEVERKUSEN,"Henrichs, Benjamin",9,5,538,0,1,0,0,1,0
2015/2016,BAYER LEVERKUSEN,"Hilbert, Roberto",12,9,766,0,1,1,4,1,0
2015/2016,BAYER LEVERKUSEN,"Jedvaj, Tin",15,11,953,0,0,1,3,5,1
2015/2016,BAYER LEVERKUSEN,"Kramer, Christoph",28,28,2398,0,1,3,9,3,0
2015/2016,BAYER LEVERKUSEN,"Kresic, Dario",1,1,47,0,0,0,0,0,0
2015/2016,BAYER LEVERKUSEN,"Kruse, Robbie",12,2,442,0,0,1,7,2,0
2015/2016,BAYER LEVERKUSEN,"Leno, Bernd",33,33,2970,0,0,0,0,0,0
2015/2016,BAYER LEVERKUSEN,"Papadopoulos, Kyriakos",16,10,935,0,0,4,13,4,1
2015/2016,BAYER LEVERKUSEN,"Ramalho, André",19,11,1123,0,0,0,7,5,0
2015/2016,BAYER LEVERKUSEN,"Son, Heung-Min",1,1,64,0,0,0,2,0,0
2015/2016,BAYER LEVERKUSEN,"Tah, Jonathan",29,29,2565,0,0,1,15,2,0
2015/2016,BAYER LEVERKUSEN,Wendell,28,26,2406,0,0,4,19,9,1
2015/2016,BAYER LEVERKUSEN,"Yelldell, David",1,0,43,0,0,0,0,0,0
2016/2017,BAYER LEVERKUSEN,"Hernández, Chicharito",26,20,1815,11,3,26,53,1,0
2016/2017,BAYER LEVERKUSEN,"Çalhanoglu, Hakan",15,14,1217,6,5,23,46,1,0
2016/2017,BAYER LEVERKUSEN,"Pohjanpalo, Joel",11,1,185,6,0,9,15,0,0
2016/2017,BAYER LEVERKUSEN,"Volland, Kevin",23,16,1469,6,2,13,34,3,1
2016/2017,BAYER LEVERKUSEN,"Havertz, Kai",24,15,1449,4,5,16,30,2,0
2016/2017,BAYER LEVERKUSEN,"Kiessling, Stefan",20,6,748,4,1,11,23,0,0
2016/2017,BAYER LEVERKUSEN,"Brandt, Julian",32,25,2304,3,8,15,47,0,0
2016/2017,BAYER LEVERKUSEN,"Mehmedi, Admir",22,16,1264,3,0,7,16,1,0
2016/2017,BAYER LEVERKUSEN,"Aránguiz, Charles",26,22,1819,2,2,5,18,7,1
2016/2017,BAYER LEVERKUSEN,"Bellarabi, Karim",16,14,1118,2,6,15,35,4,0
2016/2017,BAYER LEVERKUSEN,Wendell,32,27,2527,2,2,7,18,8,1
2016/2017,BAYER LEVERKUSEN,"Jedvaj, Tin",18,16,1423,1,0,3,11,2,1
2016/2017,BAYER LEVERKUSEN,"Kampl, Kevin",30,28,2539,1,2,8,34,4,0
2016/2017,BAYER LEVERKUSEN,"Tah, Jonathan",19,16,1638,1,1,5,10,1,0
2016/2017,BAYER LEVERKUSEN,"Toprak, Omer",25,25,2103,1,0,5,12,6,0
2016/2017,BAYER LEVERKUSEN,"Bailey, Leon",8,0,132,0,0,3,6,1,0
2016/2017,BAYER LEVERKUSEN,"Baumgartlinger, Julian",22,19,1562,0,1,1,13,1,0
2016/2017,BAYER LEVERKUSEN,"Bender, Lars",9,9,608,0,1,1,5,4,0
2016/2017,BAYER LEVERKUSEN,"Da Costa, Danny",3,1,109,0,1,0,0,0,0
2016/2017,BAYER LEVERKUSEN,"Dragovic, Aleksandar",19,15,1257,0,1,2,6,1,0
2016/2017,BAYER LEVERKUSEN,"Henrichs, Benjamin",29,27,2426,0,2,1,7,1,0
2016/2017,BAYER LEVERKUSEN,"Hilbert, Roberto",7,7,585,0,0,1,2,2,0
2016/2017,BAYER LEVERKUSEN,"Leno, Bernd",34,34,3060,0,0,0,0,0,0
2016/2017,BAYER LEVERKUSEN,"Yurchenko, Vladlen",3,1,146,0,0,0,4,0,0
2017/2018,BAYER LEVERKUSEN,"Volland, Kevin",31,30,2597,14,2,29,56,5,0
2017/2018,BAYER LEVERKUSEN,"Alario, Lucas",23,17,1545,9,4,22,56,5,1
2017/2018,BAYER LEVERKUSEN,"Bailey, Leon",30,25,2220,9,6,28,76,2,0
2017/2018,BAYER LEVERKUSEN,"Brandt, Julian",34,26,2336,9,4,21,43,0,0
2017/2018,BAYER LEVERKUSEN,"Havertz, Kai",30,22,2140,3,8,14,38,3,0
2017/2018,BAYER LEVERKUSEN,"Mehmedi, Admir",17,11,988,3,3,5,17,3,0
2017/2018,BAYER LEVERKUSEN,"Bender, Lars",21,20,1602,2,4,6,22,5,0
2017/2018,BAYER LEVERKUSEN,"Bender, Sven",29,29,2347,2,0,5,14,0,0
2017/2018,BAYER LEVERKUSEN,Wendell,26,26,2120,2,3,3,14,6,1
2017/2018,BAYER LEVERKUSEN,"Aránguiz, Charles",27,27,2306,1,3,4,33,4,0
2017/2018,BAYER LEVERKUSEN,"Baumgartlinger, Julian",22,17,1397,1,0,3,11,3,0
2017/2018,BAYER LEVERKUSEN,"Bellarabi, Karim",24,13,1142,1,3,16,42,2,0
2017/2018,BAYER LEVERKUSEN,"Kampl, Kevin",27,22,2050,1,3,8,30,3,0
2017/2018,BAYER LEVERKUSEN,"Kohr, Dominik",28,18,1666,1,1,4,40,8,1
2017/2018,BAYER LEVERKUSEN,"Pohjanpalo, Joel",7,0,110,1,0,3,6,0,0
2017/2018,BAYER LEVERKUSEN,"Retsos, Panagiotis",24,18,1714,1,3,3,13,6,0
2017/2018,BAYER LEVERKUSEN,"Dragovic, Aleksandar",1,0,45,0,0,0,0,0,0
2017/2018,BAYER LEVERKUSEN,"Henrichs, Benjamin",23,11,1259,0,1,3,20,1,1
2017/2018,BAYER LEVERKUSEN,"Jedvaj, Tin",10,6,598,0,0,1,4,1,0
2017/2018,BAYER LEVERKUSEN,"Kiessling, Stefan",8,0,75,0,0,1,3,0,0
2017/2018,BAYER LEVERKUSEN,"Leno, Bernd",33,33,2970,0,0,0,0,1,0
2017/2018,BAYER LEVERKUSEN,"Ozcan, Ramazan",1,1,90,0,0,0,0,0,0
2017/2018,BAYER LEVERKUSEN,"Ramalho, André",3,0,29,0,0,0,0,0,0
2017/2018,BAYER LEVERKUSEN,"Tah, Jonathan",28,27,2427,0,2,2,8,1,0
2013/2014,EINTRACHT FRANKFURT,Joselu,24,18,1662,9,1,34,68,3,0
2013/2014,EINTRACHT FRANKFURT,"Meier, Alexander",22,18,1648,8,2,18,56,1,0
2013/2014,EINTRACHT FRANKFURT,"Kadlec, Vaclav",21,14,1344,5,3,18,35,1,0
2013/2014,EINTRACHT FRANKFURT,"Aigner, Stefan",28,24,2162,4,6,21,50,4,0
2013/2014,EINTRACHT FRANKFURT,"Flum, Johannes",26,23,1952,3,2,5,18,9,1
2013/2014,EINTRACHT FRANKFURT,"Russ, Marco",29,28,2499,3,2,9,23,7,0
2013/2014,EINTRACHT FRANKFURT,"Madlung, Alexander",16,14,1261,2,0,5,10,1,0
2013/2014,EINTRACHT FRANKFURT,"Rosenthal, Jan",18,7,848,2,0,4,14,1,0
2013/2014,EINTRACHT FRANKFURT,"Barnetta, Tranquillo",23,20,1657,1,3,16,34,2,0
2013/2014,EINTRACHT FRANKFURT,"Lanig, Martin",15,12,1045,1,0,7,16,3,1
2013/2014,EINTRACHT FRANKFURT,Anderson,15,15,1293,0,1,2,7,3,0
2013/2014,EINTRACHT FRANKFURT,"Bakalorz, Marvin",3,0,31,0,0,0,1,0,0
2013/2014,EINTRACHT FRANKFURT,"Celozzi, Stefano",11,2,274,0,0,0,2,1,0
2013/2014,EINTRACHT FRANKFURT,"Djakpa, Constant",22,19,1688,0,0,8,22,4,0
2013/2014,EINTRACHT FRANKFURT,"Inui, Takashi",14,10,834,0,0,10,18,0,0
2013/2014,EINTRACHT FRANKFURT,"Jung, Sebastian",30,30,2692,0,7,3,12,4,0
2013/2014,EINTRACHT FRANKFURT,"Kempf, Marc-Oliver",3,1,164,0,0,0,0,1,0
2013/2014,EINTRACHT FRANKFURT,"Lakic, Srdjan",8,0,81,0,0,2,4,0,0
2013/2014,EINTRACHT FRANKFURT,"Oczipka, Bastian",20,15,1386,0,1,0,3,2,0
2013/2014,EINTRACHT FRANKFURT,"Rode, Sebastian",17,17,1439,0,0,5,17,4,0
2013/2014,EINTRACHT FRANKFURT,"Schrock, Stephan",12,7,680,0,0,2,2,2,0
2013/2014,EINTRACHT FRANKFURT,"Schwegler, Pirmin",17,14,1152,0,0,1,10,7,0
2013/2014,EINTRACHT FRANKFURT,"Stendera, Marc",5,1,67,0,0,0,0,0,0
2013/2014,EINTRACHT FRANKFURT,"Trapp, Kevin",34,34,3047,0,0,1,1,2,0
2013/2014,EINTRACHT FRANKFURT,"Weis, Tobias",4,1,94,0,0,0,0,0,0
2013/2014,EINTRACHT FRANKFURT,"Wiedwald, Felix",1,0,13,0,0,0,0,0,0
2013/2014,EINTRACHT FRANKFURT,"Zambrano, Carlos",30,30,2620,0,0,1,3,13,0
2014/2015,EINTRACHT FRANKFURT,"Meier, Alexander",26,24,2209,19,2,47,84,0,0
2014/2015,EINTRACHT FRANKFURT,"Seferovic, Haris",32,32,2846,10,6,33,96,8,1
2014/2015,EINTRACHT FRANKFURT,"Aigner, Stefan",28,23,2092,9,0,22,44,8,0
2014/2015,EINTRACHT FRANKFURT,"Madlung, Alexander",22,14,1346,4,0,5,14,5,0
2014/2015,EINTRACHT FRANKFURT,"Stendera, Marc",26,21,1850,3,5,9,21,6,0
2014/2015,EINTRACHT FRANKFURT,"Piazón, Lucas",22,11,1053,2,0,6,11,3,0
2014/2015,EINTRACHT FRANKFURT,"Russ, Marco",26,26,2224,2,3,6,17,5,0
2014/2015,EINTRACHT FRANKFURT,"Chandler, Timmy",29,25,2332,1,1,2,11,7,0
2014/2015,EINTRACHT FRANKFURT,"Inui, Takashi",27,21,1819,1,5,14,45,2,0
2014/2015,EINTRACHT FRANKFURT,"Kadlec, Vaclav",4,1,116,1,0,5,7,0,0
2014/2015,EINTRACHT FRANKFURT,"Oczipka, Bastian",30,28,2570,1,5,5,11,6,0
2014/2015,EINTRACHT FRANKFURT,"Valdez, Nelson",10,6,516,1,0,6,15,2,0
2014/2015,EINTRACHT FRANKFURT,Anderson,22,19,1685,0,1,0,4,5,0
2014/2015,EINTRACHT FRANKFURT,"Djakpa, Constant",6,5,437,0,0,0,3,1,0
2014/2015,EINTRACHT FRANKFURT,"Flum, Johannes",7,0,159,0,0,0,1,0,0
2014/2015,EINTRACHT FRANKFURT,"Hasebe, Makoto",33,33,2851,0,2,1,4,6,0
2014/2015,EINTRACHT FRANKFURT,"Hildebrand, Timo",3,3,270,0,0,0,0,1,0
2014/2015,EINTRACHT FRANKFURT,"Ignjovski, Aleksandar",20,14,1210,0,1,2,6,4,0
2014/2015,EINTRACHT FRANKFURT,"Kinsombi, David",2,2,153,0,0,0,0,1,0
2014/2015,EINTRACHT FRANKFURT,"Kittel, Sonny",18,7,664,0,1,13,22,3,0
2014/2015,EINTRACHT FRANKFURT,"Lanig, Martin",3,1,101,0,0,1,1,1,0
2014/2015,EINTRACHT FRANKFURT,"Medojevic, Slobodan",14,10,797,0,0,1,3,2,1
2014/2015,EINTRACHT FRANKFURT,"Trapp, Kevin",22,22,1979,0,0,0,0,1,0
2014/2015,EINTRACHT FRANKFURT,"Waldschmidt, Luca",3,1,105,0,0,0,1,0,0
2014/2015,EINTRACHT FRANKFURT,"Wiedwald, Felix",10,9,811,0,0,0,0,0,0
2014/2015,EINTRACHT FRANKFURT,"Zambrano, Carlos",17,16,1449,0,1,3,4,7,1
2015/2016,EINTRACHT FRANKFURT,"Meier, Alexander",19,19,1658,12,1,25,50,0,1
2015/2016,EINTRACHT FRANKFURT,"Castaignos, Luc",19,12,941,4,1,7,17,1,0
2015/2016,EINTRACHT FRANKFURT,"Aigner, Stefan",31,27,2398,3,3,17,44,7,0
2015/2016,EINTRACHT FRANKFURT,"Russ, Marco",28,26,2349,3,2,12,23,9,0
2015/2016,EINTRACHT FRANKFURT,"Seferovic, Haris",29,25,2209,3,5,20,58,10,0
2015/2016,EINTRACHT FRANKFURT,"Stendera, Marc",26,24,2047,2,1,16,39,9,0
2015/2016,EINTRACHT FRANKFURT,"Ben-Hatira, Anis",9,7,608,1,1,6,12,2,0
2015/2016,EINTRACHT FRANKFURT,"Hasebe, Makoto",32,31,2673,1,2,2,7,9,0
2015/2016,EINTRACHT FRANKFURT,"Huszti, Szabolcs",15,14,1183,1,2,5,20,5,0
2015/2016,EINTRACHT FRANKFURT,"Medojevic, Slobodan",14,6,556,1,0,1,2,0,1
2015/2016,EINTRACHT FRANKFURT,"Reinartz, Stefan",15,14,1198,1,1,2,8,2,0
2015/2016,EINTRACHT FRANKFURT,"Abraham, David",31,28,2548,0,0,2,12,8,0
2015/2016,EINTRACHT FRANKFURT,"Ayhan, Kaan",3,1,79,0,0,0,0,1,0
2015/2016,EINTRACHT FRANKFURT,"Chandler, Timmy",12,5,664,0,0,2,3,4,0
2015/2016,EINTRACHT FRANKFURT,"Djakpa, Constant",12,8,751,0,0,1,4,2,0
2015/2016,EINTRACHT FRANKFURT,"Fabián, Marco",11,9,802,0,2,4,20,2,0
2015/2016,EINTRACHT FRANKFURT,"Flum, Johannes",5,1,137,0,1,0,2,0,0
2015/2016,EINTRACHT FRANKFURT,"Gacinovic, Mijat",7,4,327,0,0,2,4,1,0
2015/2016,EINTRACHT FRANKFURT,"Gerezgiher, Joel",3,1,84,0,0,1,4,1,0
2015/2016,EINTRACHT FRANKFURT,"Hradecky, Lukas",34,34,3060,0,0,0,0,0,0
2015/2016,EINTRACHT FRANKFURT,"Ignjovski, Aleksandar",18,13,1220,0,2,1,9,3,0
2015/2016,EINTRACHT FRANKFURT,"Inui, Takashi",1,1,45,0,0,0,0,0,0
2015/2016,EINTRACHT FRANKFURT,"Kadlec, Vaclav",5,2,110,0,0,0,2,1,0
2015/2016,EINTRACHT FRANKFURT,"Kinsombi, David",2,1,91,0,0,0,0,0,0
2015/2016,EINTRACHT FRANKFURT,"Kittel, Sonny",8,1,272,0,0,0,6,0,0
2015/2016,EINTRACHT FRANKFURT,"Oczipka, Bastian",30,30,2700,0,0,3,10,7,0
2015/2016,EINTRACHT FRANKFURT,"Regasel, Yanni",16,14,1274,0,0,1,4,1,0
2015/2016,EINTRACHT FRANKFURT,"Rinderknecht, Nico",1,0,5,0,0,0,0,0,0
2015/2016,EINTRACHT FRANKFURT,"Waldschmidt, Luca",12,0,230,0,1,1,5,0,0
2015/2016,EINTRACHT FRANKFURT,"Zambrano, Carlos",24,21,1793,0,0,0,4,8,1
2016/2017,EINTRACHT FRANKFURT,"Fabián, Marco",24,23,2055,7,4,21,61,10,0
2016/2017,EINTRACHT FRANKFURT,"Hrgota, Branimir",28,22,1748,5,1,13,37,2,0
2016/2017,EINTRACHT FRANKFURT,"Meier, Alexander",21,15,1396,5,2,20,43,1,0
2016/2017,EINTRACHT FRANKFURT,"Seferovic, Haris",25,11,1061,3,0,9,32,1,1
2016/2017,EINTRACHT FRANKFURT,"Barkok, Aymen",18,6,651,2,2,2,8,1,0
2016/2017,EINTRACHT FRANKFURT,"Gacinovic, Mijat",28,26,2231,2,0,8,25,9,0
2016/2017,EINTRACHT FRANKFURT,"Huszti, Szabolcs",15,14,1046,2,2,5,12,3,1
2016/2017,EINTRACHT FRANKFURT,"Rebic, Ante",24,16,1405,2,2,14,44,10,0
2016/2017,EINTRACHT FRANKFURT,"Abraham, David",30,30,2585,1,3,4,17,5,1
2016/2017,EINTRACHT FRANKFURT,"Blum, Danny",14,3,452,1,1,9,23,0,0
2016/2017,EINTRACHT FRANKFURT,"Hasebe, Makoto",22,21,1887,1,1,3,8,2,0
2016/2017,EINTRACHT FRANKFURT,"Hector, Michael",22,14,1355,1,0,3,7,4,1
2016/2017,EINTRACHT FRANKFURT,"Oczipka, Bastian",33,33,2952,1,4,2,10,5,0
2016/2017,EINTRACHT FRANKFURT,"Tarashaj, Shani",13,1,324,1,0,1,6,1,0
2016/2017,EINTRACHT FRANKFURT,"Vallejo, Jesús",25,22,2055,1,0,1,5,4,0
2016/2017,EINTRACHT FRANKFURT,"Besuschkow, Max",3,1,86,0,0,0,1,1,0
2016/2017,EINTRACHT FRANKFURT,"Chandler, Timmy",32,31,2816,0,3,4,17,7,1
2016/2017,EINTRACHT FRANKFURT,"Hradecky, Lukas",33,33,2883,0,0,0,0,2,1
2016/2017,EINTRACHT FRANKFURT,"Lindner, Heinz",2,1,174,0,0,0,0,0,0
2016/2017,EINTRACHT FRANKFURT,"Mascarell, Omar",28,27,2450,0,0,4,12,13,0
2016/2017,EINTRACHT FRANKFURT,"Ordóñez, Anderson",4,3,184,0,0,0,0,0,0
2016/2017,EINTRACHT FRANKFURT,"Russ, Marco",4,3,242,0,0,0,4,1,0
2016/2017,EINTRACHT FRANKFURT,"Stendera, Marc",2,2,131,0,0,0,0,0,0
2016/2017,EINTRACHT FRANKFURT,"Tawatha, Taleb",14,8,694,0,0,0,2,0,0
2016/2017,EINTRACHT FRANKFURT,"Varela, Guillermo",7,6,430,0,0,0,0,1,0
2016/2017,EINTRACHT FRANKFURT,"Wolf, Marius",3,2,168,0,0,0,1,1,0
2015/2016,EINTRACHT FRANKFURT,"Haller, Sébastien",31,26,2351,9,4,15,42,2,0
2015/2016,EINTRACHT FRANKFURT,"Jovic, Luka",22,9,929,8,1,14,37,2,0
2015/2016,EINTRACHT FRANKFURT,"Boateng, Kevin-Prince",31,27,2361,6,1,14,45,5,0
2015/2016,EINTRACHT FRANKFURT,"Rebic, Ante",25,21,1762,6,2,23,47,8,0
2015/2016,EINTRACHT FRANKFURT,"Wolf, Marius",28,27,2367,5,8,15,35,4,0
2015/2016,EINTRACHT FRANKFURT,"Chandler, Timmy",24,22,1894,2,4,7,25,3,0
2015/2016,EINTRACHT FRANKFURT,"Blum, Danny",2,0,27,1,0,1,2,0,0
2015/2016,EINTRACHT FRANKFURT,"Da Costa, Danny",17,13,1199,1,2,2,10,1,0
2015/2016,EINTRACHT FRANKFURT,"Fabián, Marco",7,3,419,1,0,4,17,0,0
2015/2016,EINTRACHT FRANKFURT,"Falette, Simon",27,25,2208,1,0,2,16,10,1
2015/2016,EINTRACHT FRANKFURT,"Gacinovic, Mijat",29,22,1816,1,3,14,36,4,0
2015/2016,EINTRACHT FRANKFURT,"Mascarell, Omar",9,8,770,1,0,2,4,4,0
2015/2016,EINTRACHT FRANKFURT,"Meier, Alexander",1,0,3,1,0,1,1,0,0
2015/2016,EINTRACHT FRANKFURT,"Russ, Marco",19,12,1147,1,0,3,7,3,0
2015/2016,EINTRACHT FRANKFURT,"Abraham, David",27,27,2303,0,2,1,8,3,0
2015/2016,EINTRACHT FRANKFURT,"Barkok, Aymen",9,2,310,0,1,0,3,1,0
2015/2016,EINTRACHT FRANKFURT,"Cavar, Marijan",1,0,31,0,0,0,1,0,0
2015/2016,EINTRACHT FRANKFURT,"De Guzmán, Jonathan",16,12,1093,0,3,4,11,2,0
2015/2016,EINTRACHT FRANKFURT,"Fernandes, Gelson",19,12,1033,0,0,0,1,4,0
2015/2016,EINTRACHT FRANKFURT,"Hasebe, Makoto",24,23,2089,0,0,0,2,3,1
2015/2016,EINTRACHT FRANKFURT,"Hradecky, Lukas",34,34,3060,0,0,0,0,1,0
2015/2016,EINTRACHT FRANKFURT,"Hrgota, Branimir",6,2,195,0,0,2,3,1,0
2015/2016,EINTRACHT FRANKFURT,"Kamada, Daichi",3,2,145,0,0,0,2,0,0
2015/2016,EINTRACHT FRANKFURT,"Medojevic, Slobodan",1,0,28,0,0,0,0,0,0
2015/2016,EINTRACHT FRANKFURT,"Salcedo, Carlos",20,17,1607,0,0,3,5,5,0
2015/2016,EINTRACHT FRANKFURT,"Stendera, Marc",7,5,375,0,0,1,7,1,0
2015/2016,EINTRACHT FRANKFURT,"Tawatha, Taleb",13,4,432,0,1,0,3,1,0
2015/2016,EINTRACHT FRANKFURT,"Willems, Jetro",23,19,1669,0,2,9,22,4,0
